ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
5070,SE3,Öregrundsgrepen,block/grus,fastland,14_strandäng,4,20255070004,,23.7,114,675688.9979,6700086.4329,18.189107905438,60.3988672986376
5070,SE3,Öregrundsgrepen,strandäng/våtmark,fastland,10_vasstrand,16,20255070016,,4.1,333,675478.5429,6700255.5834,18.1854429504005,60.4004750536959
5070,SE3,Öregrundsgrepen,konstruerad,fastland,05_konstruerad,35,20255070035,,3.6,205,675503.5679,6700678.6577,18.1862674788792,60.4042569856057
5070,SE3,Öregrundsgrepen,block/grus,fastland,02_block/grus,38,20255070038,,4.2,341,675442.1091,6700854.4351,18.1853078613567,60.4058594658112
5077,SE3,Öregrundsgrepen,strandäng/våtmark,fastland,14_strandäng,1,20255077001,,60.7,312,663949.5295,6711727.2611,17.9859363702782,60.5081734006568
5080,SE3,Öregrundsgrepen,strandäng/våtmark,fastland,04_strandäng/våtmark,4,20255080004,,6,295,665113.5634,6717209.875,18.0116686479613,60.5568557875941
5080,SE3,Öregrundsgrepen,block/grus,fastland,02_block/grus,6,20255080006,,4,266,664874.067,6717769.1905,18.007773368975,60.561968996172
5080,SE3,Öregrundsgrepen,strandäng/våtmark,fastland,14_strandäng,22,20255080022,,6.8,27,664494.6988,6717969.1888,18.0010300664128,60.5639176883944
5081,SE3,Öregrundsgrepen,klippa/häll,skär,14_strandäng,3,20255081003,,32.5,100,666374.6119,6718083.8202,18.0353673967267,60.5641714847305
5090,SE4,Ärnöområdet sek namn,klippa/häll,skär,09_skär,2,20255090002,,17,315,605100.6483,6372482.5677,16.752987655895,57.4827605877563
5091,SE4,Ärnöområdet sek namn,klippa/häll,öar,01_klippstränder,7,20255091007,,19.2,107,605570.1738,6372206.8244,16.7606955773915,57.4801757754874
5091,SE4,Ärnöområdet sek namn,block/grus,öar,02_block/grus,26,20255091026,,10.3,39,605183.7758,6372941.3963,16.7545709839676,57.4868609465963
5092,SE4,Misterhults skärgårds inre kustvatten,klippa/häll,öar,01_klippstränder,1,20255092001,,37.4,226,605602.1244,6372995.9412,16.7615692870813,57.487253459719
5092,SE4,Misterhults skärgårds inre kustvatten,klippa/häll,skär,09_skär,13,20255092013,,19.1,224,605379.3023,6373399.2654,16.758028393402,57.4909265587299
5097,SE4,Misterhults skärgårds inre kustvatten,klippa/häll,skär,09_skär,8,20255097008,,18.6,281,606070.0039,6376173.0244,16.7707509447489,57.5156696421111
5097,SE4,Misterhults skärgårds inre kustvatten,klippa/häll,öar,01_klippstränder,41,20255097041,,13.3,223,605430.7278,6376874.0717,16.7603877892641,57.522113226608
5105,SE4,Misterhults skärgårds inre kustvatten,block/grus,öar,02_block/grus,24,20255105024,,4.2,237,604286.158,6380201.5719,16.7427124560396,57.552254390483
5105,SE4,Misterhults skärgårds inre kustvatten,strandäng/våtmark,öar,04_strandäng/våtmark,33,20255105033,,4.4,244,604605.7058,6380336.4002,16.7481075428089,57.5533911702523
5105,SE4,Misterhults skärgårds inre kustvatten,strandäng/våtmark,skär,10_vasstrand,48,20255105048,,10.5,24,604748.6408,6380430.612,16.7505354988666,57.5542039751477
5105,SE4,Misterhults skärgårds inre kustvatten,klippa/häll,öar,01_klippstränder,63,20255105063,,4.3,230,604609.615,6380643.3393,16.7483048919587,57.5561461210505
5105,SE4,Misterhults skärgårds inre kustvatten,block/grus,skär,09_skär,65,20255105065,,7.6,58,604755.3028,6380663.3312,16.7507470396837,57.5562919004153
5105,SE4,Misterhults skärgårds inre kustvatten,block/grus,öar,14_strandäng,78,20255105078,,14.7,180,604449.6972,6380766.1187,16.7456864075083,57.5572854550665
5110,SE4,Gåsfjärden,klippa/häll,fastland,01_klippstränder,3,20255110003,,4,314,592151.7857,6385061.8879,16.5418704216082,57.5985318849403
5110,SE4,Gåsfjärden,strandäng/våtmark,fastland,14_strandäng,8,20255110008,,38.7,8,592265.5472,6385186.6957,16.5438205737594,57.5996293499871
5110,SE4,Gåsfjärden,block/grus,fastland,02_block/grus,26,20255110026,,4.8,281,592324.9557,6385598.5597,16.5449710801147,57.6033154807758
5111,SE4,Gåsfjärden,strandäng/våtmark,skär,10_vasstrand,9,20255111009,,5.2,49,593186.1537,6385350.5365,16.559280994272,57.6009114790997
5111,SE4,Gåsfjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,10,20255111010,,5.3,98,593316.0075,6385355.07,16.5614546580713,57.6009253688512
5111,SE4,Gåsfjärden,block/grus,fastland,02_block/grus,16,20255111016,,3.4,192,593976.9065,6385574.0381,16.5725936217922,57.6027544660455
5111,SE4,Gåsfjärden,klippa/häll,fastland,01_klippstränder,18,20255111018,,4.9,86,593641.9653,6385598.2321,16.5670005186891,57.6030413026328
5111,SE4,Gåsfjärden,klippa/häll,fastland,08_havsklippa,23,20255111023,,12.5,31,593839.974,6385775.9317,16.5703813724374,57.6045957992419
