tabell,vernacular_name,scientific_name,taxon_id,family,phylum,registrering
trad,almar,Ulmus,1006589,Ulmaceae,Tracheophyta,
trad,aplar,Malus,1006389,Rosaceae,Tracheophyta,
trad,ask,Fraxinus excelsior,220785,Oleaceae,Tracheophyta,
trad,asp,Populus tremula,223265,Salicaceae,Tracheophyta,
trad,avenbok,Carpinus betulus,220039,Corylaceae,Tracheophyta,
arter,backtimjan,Thymus serpyllum,221849,Lamiaceae,Tracheophyta,
arter,baltisk strandmalört,Artemisia maritima subsp. humifusa,223774,Asteraceae,Tracheophyta,
buskar,benved,Euonymus europaeus,220776,Celastraceae,Tracheophyta,
buskar,berberis,Berberis vulgaris,222795,Corylaceae,Tracheophyta,
arter,bergrör,Calamagrostis epigejos,222270,Poaceae,Tracheophyta,
arter,bergsyra,Rumex acetosella,220869,Polygonaceae,Tracheophyta,
trad,bergtall,Pinus mugo,222160,Pinaceae,Tracheophyta,
arter,besksöta,Solanum dulcamara,223483,Solanaceae,Tracheophyta,
buskar,björnbär,Rubus subgen. Rubus,6005223,Rosaceae,Tracheophyta,
arter,blomsterlupin, Lupinus polyphyllus,221248,Fabaceae,Tracheophyta,r
arter,blåbär,Vaccinium myrtillus,221157,Ericaceae,Tracheophyta,
buskar,blåhallon,Rubus caesius,223134,Rosaceae,Tracheophyta,
arter,blåsäv,Schoenoplectus tabernaemontani,222661,Cyperaceae,Tracheophyta,
buskar,blåtry,Lonicera caerulea,221029,Caprifoliaceae,Tracheophyta,
arter,blåtåtel,Molinia caerulea,220825,Poaceae,Tracheophyta,
arter,bockrot,Pimpinella saxifraga,219706,Apiaceae,Tracheophyta,
arter,boerstånds,Senecio inaequidens,220306,Asteraceae,Tracheophyta,
arter,bohusmarrisp,Limonium humile,220551,Plumbaginaceae,Tracheophyta,
trad,bok,Fagus sylvatica,220778,Fagaceae,Tracheophyta,
arter,bolmört,Hyoscyamus niger,223438,Solanaceae,Tracheophyta,
arter,borsttåtel,Corynephorus canescens,221399,Poaceae,Tracheophyta,
arter,bottnisk malört,Artemisia campestris subsp. bottnica,90,Asteraceae,Tracheophyta,
buskar,brakved,Frangula alnus,223033,Rhamnaceae,Tracheophyta,
arter,brosklavar,Ramalina,1008107,Lavar,Ascomycota,
arter,broskmålla,Atriplex glabriuscula,220655,Amaranthaceae,Tracheophyta,
arter,brun franslav,Anaptychia runcinata,228084,Lavar,Ascomycota,
arter,brunskära,Bidens tripartita,220001,Asteraceae,Tracheophyta,
arter,brådmålla,Atriplex longipes subsp. praecox,223909,Amaranthaceae,Tracheophyta,
arter,brännässla,Urtica dioica,223250,Urticaceae,Tracheophyta,
arter,bunge,Samolus valerandi,221152,Primulaceae,Tracheophyta,
trad,cembratall,Pinus cembra,222158,Pinaceae,Tracheophyta,
trad,contortatall,Pinus contorta,222159,Pinaceae,Tracheophyta,
arter,dansk skörbjuggsört,Cochlearia danica,220090,Brassicaceae,Tracheophyta,
buskar,druvfläder,Sambucus racemosa,221577,Caprifoliaceae,Tracheophyta,
arter,dvärgarun,Centaurium pulchellum,221412,Gentianaceae,Tracheophyta,
buskar,dvärgbjörk,Betula nana,220682,Betulaceae,Tracheophyta,
arter,dvärglin,Radiola linoides,1910,Linaceae,Tracheophyta,
trad,skogsek,Quercus robur,221406,Fagaceae,Tracheophyta,
buskar,en,Juniperus communis,222146,Cupressaceae,Tracheophyta,
arter,engelsk fetknopp,Sedum anglicum,1477,Crassulaceae,Tracheophyta,
arter,etternässla,Urtica urens,223253,Urticaceae,Tracheophyta,
arter,fackelblomster,Lythrum salicaria,222087,Lythraceae,Tracheophyta,
arter,finnskräppa,Rumex pseudonatronatus,220888,Polygonaceae,Tracheophyta,r
arter,flikmålla,Atriplex calotheca,220653,Amaranthaceae,Tracheophyta,
arter,flockfibbla,Hieracium umbellatum,222024,Asteraceae,Tracheophyta,
buskar,fläder,Sambucus nigra,221576,Caprifoliaceae,Tracheophyta,
arter,frossört,Scutellaria galericulata,221819,Lamiaceae,Tracheophyta,
arter,gatkamomill,Matricaria discoidea,221702,Asteraceae,Tracheophyta,
buskar,getapel,Rhamnus cathartica,223093,Rhamnaceae,Tracheophyta,
trad,glasbjörk,Betula pubescens,221395,Betulaceae,Tracheophyta,
arter,glasört,Salicornia europaea,220908,Amaranthaceae,Tracheophyta,r
trad,gran,Picea abies,220850,Pinaceae,Tracheophyta,
trad,gråal,Alnus incana,221388,Betulaceae,Tracheophyta,
arter,grönlandsgåsört,Argentina anserina subsp. groenlandica,224945,Rosaceae,Tracheophyta,
arter,grönpyrola,Pyrola chlorantha,221144,Ericaceae,Tracheophyta,
arter,gul fetknopp,Sedum acre,223397,Crassulaceae,Tracheophyta,
arter,sandraggmossa/fjäderraggmossa,Racomitrium canescens s.lat.,233261,Mossor,Bryophyta,
arter,kartlavar,Rhizocarpon,229876,Lavar,Ascomycota,
arter,gulkämpar,Plantago maritima,221777,Plantaginaceae,Tracheophyta,
arter,gulsporre,Linaria vulgaris,221698,Scrophularicaceae,Tracheophyta,
arter,gultåtel,Deschampsia bottnica,222414,Poaceae,Tracheophyta,RT
arter,gulvial,Lathyrus pratensis,221228,Fabaceae,Tracheophyta,
arter,gårdsgroblad,Plantago major subsp. major,224301,Plantaginaceae,Tracheophyta,
arter,gårdsskräppa,Rumex longifolius,220881,Polygonaceae,Tracheophyta,
arter,gökblomster,Lychnis flos-cuculi,220811,Caryophyllaceae,Tracheophyta,
buskar,hagtornar,Crataegus,1005953,Rosaceae,Tracheophyta,
buskar,hallon,Rubus idaeus,223156,Rosaceae,Tracheophyta,
arter,hampflockel,Eupatorium cannabinum,221530,Asteraceae,Tracheophyta,
buskar,harris,Cytisus scoparius,221192,Fabaceae,Tracheophyta,
buskar,hassel,Corylus avellana,222823,Corylaceae,Tracheophyta,
arter,havsnarv,Spergularia media,220947,Caryophyllaceae,Tracheophyta,
arter,havssälting,Triglochin maritima,219612,Juncaginaceae,Tracheophyta,
arter,havssäv,Bolboschoenus maritimus,222660,Cyperaceae,Tracheophyta,
buskar,havtorn,Hippophaë rhamnoides,221206,Elaeagnaceae,Tracheophyta,
arter,hundkäx,Anthriscus sylvestris,219627,Apiaceae,Tracheophyta,
arter,hundtunga,Cynoglossum officinale,221518,Boraginaceae,Tracheophyta,
arter,huvudtåg,Juncus capitatus,893,Juncaceae,Tracheophyta,
arter,häckvicker,Vicia sepium,221382,Fabaceae,Tracheophyta,
trad,hägg,Prunus padus,223083,Rosaceae,Tracheophyta,
buskar,häggmisplar,Amelanchier,1005742,Rosaceae,Tracheophyta,
arter,hässlebrodd,Milium effusum,219851,Poaceae,Tracheophyta,
trad,hästkastanj,Aesculus hippocastanum,223321,Hippocastanaceae,Tracheophyta,
arter,hästsvans,Hippuris vulgaris,221949,Caryophyllaceae,Tracheophyta,
arter,hönsbär,Cornus suecica,220987,Convolvulaceae,Tracheophyta,
arter,höskallra,Rhinanthus angustifolius,221788,Orobanchaceae,Tracheophyta,
arter,höstfibbla,Scorzoneroides autumnalis,220227,Asteraceae,Tracheophyta,
trad,idegran,Taxus baccata,1547,Taxaceae,Tracheophyta,
trad,jolster,Salix pentandra,223299,Salicaceae,Tracheophyta,
arter,jättebalsamin,Impatiens glandulifera,221100,Balsaminaceae,Tracheophyta,
arter,jätteslide,Reynoutria sachalinensis,220783,Polygonaceae,Tracheophyta,
buskar,vildkaprifol,Lonicera periclymenum,221037,Caprifoliaceae,Tracheophyta,
arter,kattfot,Antennaria dioica,219933,Asteraceae,Tracheophyta,
arter,klapperstarr,Carex glareosa,222315,Cyperaceae,Tracheophyta,
arter,klapperögontröst,Euphrasia wettsteinii var. baltica,224239,Orobanchaceae,Tracheophyta,
trad,klibbal,Alnus glutinosa,219758,Betulaceae,Tracheophyta,
arter,klibbglim,Silene viscosa,220943,Caryophyllaceae,Tracheophyta,
arter,klibbkorsört,Senecio viscosus,220317,Asteraceae,Tracheophyta,
arter,klöverärt,Lotus maritimus,221306,Fabaceae,Tracheophyta,
arter,knutnarv,Sagina nodosa,220903,Caryophyllaceae,Tracheophyta,
arter,knutört,Lysimachia minima,50,Primulaceae,Tracheophyta,
arter,knölsyska,Stachys palustris,221832,Lamiaceae,Tracheophyta,
arter,korsört,Senecio vulgaris,220318,Asteraceae,Tracheophyta,
arter,kotula,Cotula coronopifolia,223009,Asteraceae,Tracheophyta,r
buskar,krusbär,Ribes uva-crispa,223371,Rosaceae,Tracheophyta,
arter,krusfrö,Selinum carvifolia,219716,Apiaceae,Tracheophyta,
arter,krusskräppa,Rumex crispus,220877,Polygonaceae,Tracheophyta,
arter,kruståtel,Avenella flexuosa,222416,Poaceae,Tracheophyta,
arter,krypnarv,Sagina procumbens,220904,Caryophyllaceae,Tracheophyta,
arter,krypven,Agrostis stolonifera,222198,Poaceae,Tracheophyta,
arter,hundvide,Salix repens,223303,Salicaceae,Tracheophyta,
arter,kråkklöver,Comarum palustre,221186,Rosaceae,Tracheophyta,
arter,kråkvicker,Vicia cracca,221361,Fabaceae,Tracheophyta,
arter,kungsljus,Verbascum,1006350,Scrophularicaceae,Tracheophyta,
arter,smalarun,Centaurium littorale,221411,Gentianaceae,Tracheophyta,
arter,kustbaldersbrå,Tripleurospermum maritimum subsp. maritimum,223798,Asteraceae,Tracheophyta,
arter,kustgroblad,Plantago major subsp. winteri,224302,Plantaginaceae,Tracheophyta,
arter,kvastmossor,Dicranum,1004607,Mossor,Bryophyta,
arter,kvickrot,Elytrigia repens,222449,Poaceae,Tracheophyta,
arter,käringtand,Lotus corniculatus,221239,Fabaceae,Tracheophyta,
arter,kärleksört,Hylotelephium telephium,223343,Crassulaceae,Tracheophyta,
arter,kärrknipprot,Epipactis palustris,219799,Orchidaceae,Tracheophyta,
arter,kärrsilja,Peucedanum palustre,219702,Apiaceae,Tracheophyta,
arter,kärrsälting,Triglochin palustris,219613,Juncaginaceae,Tracheophyta,
arter,kärrtörel,Euphorbia palustris,221968,Euphorbiaceae,Tracheophyta,
arter,kärrvial,Lathyrus palustris,221227,Fabaceae,Tracheophyta,
buskar,liguster,Ligustrum vulgare,221685,Oleaceae,Tracheophyta,
trad,lindar,Tilia,1006396,Tiliaceae,Tracheophyta,
arter,lingon,Vaccinium vitis-idaea,221160,Ericaceae,Tracheophyta,
arter,liten ärtstarr,Carex oederi var. pulchella,224693,Cyperaceae,Tracheophyta,
arter,ljung,Calluna vulgaris,221615,Ericaceae,Tracheophyta,
arter,lundelm,Elymus caninus,222441,Poaceae,Tracheophyta,
trad,lärk,Larix decidua,222151,Pinaceae,Tracheophyta,
trad,skogslönn,Acer platanoides,223315,Aceraceae,Tracheophyta,
arter,madrör,Calamagrostis neglecta,222273,Poaceae,Tracheophyta,
arter,malört,Artemisia absinthium,219958,Asteraceae,Tracheophyta,
arter,marrisp,Limonium vulgare,978,Plumbaginaceae,Tracheophyta,
arter,martorn,Eryngium maritimum,624,Apiaceae,Tracheophyta,r
arter,marviol,Cakile maritima,220449,Brassicaceae,Tracheophyta,r
arter,mjölon,Arctostaphylos uva-ursi,221078,Ericaceae,Tracheophyta,
buskar,murgröna,Hedera helix,219677,Araliaceae,Tracheophyta,
buskar,måbär,Ribes alpinum,223362,Rosaceae,Tracheophyta,
arter,navellavar,Umbilicaria,1008184,Lavar,Ascomycota,
arter,nordbaldersbrå,Tripleurospermum maritimum subsp. subpolare,223801,Asteraceae,Tracheophyta,
arter,nordgröe,Poa pratensis subsp. alpigena,224825,Poaceae,Tracheophyta,
arter,nordkråkbär,Empetrum nigrum subsp. hermaphroditum,224096,Ericaceae,Tracheophyta,
