Amaranthaceae,Atriplex calotheca,flikmålla,
Amaranthaceae,Atriplex glabriuscula,broskmålla,
Amaranthaceae,Atriplex littoralis,strandmålla,
Amaranthaceae,Atriplex longipes ssp longpipes,skaftmålla,
Amaranthaceae,Atriplex longipes ssp. praecox,brådmålla,
Amaranthaceae,Atriplex prostrata,spjutmålla,
Amaranthaceae,Beta vulgaris,strandbeta,
Amaranthaceae,Salicornia europaea,glasört,r
Amaranthaceae,Salicornia stricta,styv glasört,r
Amaranthaceae,Salsola kali,sodaört,
Amaranthaceae,Suaeda maritima,saltört,
Apiaceae,Angelica archangelica ssp. litoralis,strandkvanne,r
Apiaceae,Angelica sylvestris,strätta,r
Apiaceae,Anthriscus sylvestris,hundkäx,
Apiaceae,Eryngium maritimum,martorn,r
Apiaceae,Hydrocotyle vulgaris,spikblad,
Apiaceae,Ligusticum scothicum,strandloka,r
Apiaceae,Peucedanum palustre,kärrsilja,
Apiaceae,Pimpinella saxifraga,bockrot,
Asteraceae,Achillea millefolium,röllika,
Asteraceae,Antennaria dioica,kattfot,
Asteraceae,Artemisia absinthium,malört,
Asteraceae,Artemisia campestris ssp. bottnica,bottnisk malört,
Asteraceae,Artemisia vulgaris var. coarctata,strandgråbo,
Asteraceae,Bidens tripartita,brunskära,
Asteraceae,Cotula coronopifolia,kotula,r
Asteraceae,Eupatorium cannabinum,hampflockel,
Asteraceae,Hieracium umbellatum,flockfibbla,
Asteraceae,Hypochoeris maculata,slåtterfibbla,r
Asteraceae,Matricaria discoidea,gatkamomill,
Asteraceae,Mulgedium tataricum,sandsallad,
Asteraceae,Petasites spurius,spjutskråp,
Asteraceae,Scorzoneroides autumnalis,höstfibbla,
Asteraceae,Senecio vernalis,vårkorsört,
Asteraceae,Senecio viscosus,klibbkorsört,
Asteraceae,Senecio vulgaris,korsört,
Asteraceae,Seriphidium maritimum ssp. humifusum,baltisk strandmalört,
Asteraceae,Seriphidium maritimum ssp. maritimum,vanlig strandmalört,
Asteraceae,Sonchus arvensis,åkermolke,r
Asteraceae,Sonchus palustris,strandmolke,r
Asteraceae,Tanacetum vulgare,renfana,t
Asteraceae,Taraxacum sect. palustria,strandmaskrosor,
Asteraceae,Tripleurospermum maritimum ssp. maritimum,kustbaldersbrå,
Asteraceae,Tripleurospermum maritimum ssp. subpolare,nordbaldersbrå,
Asteraceae,Tripolium vulgare,strandaster,r
Boraginaceae,Cynoglossum officinale,hundtunga,
Boraginaceae,Mertensia maritima,ostronört,
Brassicaceae,Cakile maritima,marviol,r
Brassicaceae,Cochlearia danica,dansk skörbjuggsört,
Brassicaceae,Cochlearia officinalis,skörbjuggsört,
Brassicaceae,Crambe maritima,strandkål,r
Brassicaceae,Isatis tinctoria,vejde,r
Caprifoliaceae,Valeriana,vänderrötter,
Caryophyllaceae,Cerastium diffusum,västkustarv,
Caryophyllaceae,Hippuris vulgaris,hästsvans,
Caryophyllaceae,Honckenya peploides,saltarv,
Caryophyllaceae,Lychnis flos-cuculi,gökblomster,
Caryophyllaceae,Sagina maritima,strandnarv,
Caryophyllaceae,Sagina nodosa,knutnarv,
Caryophyllaceae,Sagina procumbens,krypnarv,
Caryophyllaceae,Silene dioica,rödblära,
Caryophyllaceae,Silene uniflora,strandglim,t
Caryophyllaceae,Silene viscosa,klibbglim,
Caryophyllaceae,Spergularia media,havsnarv,
Caryophyllaceae,Spergularia salina,saltnarv,
Celastraceae,Calystegia spp,snårvindor,
Celastraceae,Parnassia palustris,slåtterblomma,
Convolvulaceae,Cornus suecica,hönsbär,
Crassulaceae,Hylotelephium telephium,kärleksört,
Crassulaceae,Rhodiola rosea,rosenrot,
Crassulaceae,Sedum acre,gul fetknopp,
Crassulaceae,Sedum anglicum,engelsk fetknopp,
Droseraceae,Drosera anglica,storsileshår,
