ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
5002,SE1,Norrbottens skärgårds kustvatten,block/grus,öar,06_dyner,2,20265002002,,38.2,273,894820.3434,7293923.0899,23.5616065617076,65.5253667594425
5003,SE1,Norrbottens skärgårds kustvatten,sand,öar,06_dyner,1,20265003001,,16.1,15,902057.1458,7300141.169,23.7349358562635,65.5716340754572
5003,SE1,Norrbottens skärgårds kustvatten,sand,öar,06_dyner,2,20265003002,,14.6,354,901943.6393,7300142.3596,23.732508247122,65.5717854263978
5003,SE1,Norrbottens skärgårds kustvatten,sand,öar,06_dyner,3,20265003003,,17.9,0,902007.5363,7300143.9471,23.7338816057993,65.5717202517958
5004,SE1,Norrbottens skärgårds kustvatten,block/grus,öar,02_block/grus,3,20265004003,,89.2,341,905904.6336,7301336.7852,23.8209440868507,65.5774391236206
5006,SE1,Enskärsfjärden,block/grus,öar,02_block/grus,1,20265006001,,31.2,146,915090.864,7306998.759,24.035144842699,65.6159749292254
5008,SE1,S. Seskaröfjärden sek namn,strandäng/våtmark,öar,06_dyner,5,20265008005,,24.4,206,903973.6152,7308432.8549,23.8010153520675,65.6427709901796
5008,SE1,S. Seskaröfjärden sek namn,strandäng/våtmark,öar,06_dyner,12,20265008012,,16.1,219,903597.27,7308942.6383,23.7944766646199,65.6477614332573
5010,SE1TO,Knivskärsfjärden,block/grus,öar,06_dyner,1,20265010001,,34.8,291,914724.6927,7310731.801,24.0388917578843,65.6495221467805
5013,SE1TO,Knivskärsfjärden,block/grus,öar,06_dyner,7,20265013007,,12.4,348,919712.3817,7313519.8477,24.1547056993589,65.6677757185343
5013,SE1TO,Knivskärsfjärden,block/grus,öar,07_landhöjningsskog,8,20265013008,,5.8,26,919282.0474,7313578.1303,24.1456483906605,65.6688514189323
5017,SE1,Skomakarfjärden,sand,öar,06_dyner,3,20265017003,,14.9,194,917057.0674,7317839.2063,24.1112386032755,65.7094835628888
5020,SE1,Skomakarfjärden,block/grus,öar,07_landhöjningsskog,3,20265020003,,19.9,39,914879.9304,7319470.614,24.06950911586,65.7267496476905
5020,SE1,Skomakarfjärden,block/grus,öar,02_block/grus,12,20265020012,,19,208,914505.5208,7319712.6537,24.0622065337779,65.7293765931655
5022,SE1,Skomakarfjärden,sand,öar,06_dyner,2,20265022002,,7.8,93,914045.075,7321815.3672,24.0588736594277,65.7485996085447
5024,SE1TO,Haparandafjärden sek namn,block/grus,öar,07_landhöjningsskog,9,20265024009,,9.8,226,916682.1326,7322234.2514,24.1170041269161,65.7489033718873
5025,SE1,Seskaröfjärden,block/grus,öar,02_block/grus,2,20265025002,,4.6,74,899945.2352,7323141.8869,23.758864913036,65.7782212810695
5025,SE1,Seskaröfjärden,klippa/häll,öar,01_klippstränder,4,20265025004,,16.9,104,899910.3131,7323342.5846,23.7587197859657,65.7800444206372
5025,SE1,Seskaröfjärden,block/grus,öar,07_landhöjningsskog,18,20265025018,,6.5,16,899687.6603,7323919.2624,23.7556614915184,65.7854353316295
5025,SE1,Seskaröfjärden,block/grus,öar,14_strandäng,21,20265025021,,8.1,33,899644.3035,7323950.5413,23.7548200759417,65.7857666911302
5060,SE1,Örefjärden,klippa/häll,skär,14_strandäng,1,20265060001,,20.4,287,735056.2605,7051030.3123,19.7262757010561,63.5093945234373
5060,SE1,Örefjärden,block/grus,fastland,07_landhöjningsskog,7,20265060007,,15.7,268,734971.1548,7051415.2795,19.7251417694598,63.5128940353614
5060,SE1,Örefjärden,strandäng/våtmark,fastland,06_dyner,10,20265060010,,14.9,253,734929.2592,7051751.7164,19.7248011592654,63.5159308899908
5061,SE1,Hörnefors området sek namn,block/grus,öar,02_block/grus,15,20265061015,,10.3,264,746028.5733,7053739.6074,19.9501349922013,63.5261888554697
5061,SE1,Hörnefors området sek namn,block/grus,öar,02_block/grus,16,20265061016,,9,74,745900.9165,7053787.2263,19.947651921828,63.5267030933376
5061,SE1,Hörnefors området sek namn,klippa/häll,öar,01_klippstränder,19,20265061019,,18.6,213,745922.9115,7053958.8798,19.9483589692763,63.5282226342883
5065,SE1,Örefjärden,block/grus,fastland,02_block/grus,5,20265065005,,4.8,69,741065.3064,7060326.8261,19.8607563454404,63.5885002482733
5065,SE1,Örefjärden,block/grus,fastland,10_vasstrand,6,20265065006,,4.1,253,740910.0547,7060415.5175,19.857774952916,63.5893990576849
5065,SE1,Örefjärden,strandäng/våtmark,fastland,07_landhöjningsskog,8,20265065008,,2.3,215,740873.7278,7060494.0801,19.8571656553179,63.5901263127128
5065,SE1,Örefjärden,konstruerad,fastland,05_konstruerad,17,20265065017,,3.4,312,740781.4766,7060947.2372,19.8560057664213,63.5942413597212
5065,SE1,Örefjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,18,20265065018,,2.2,82,740893.2255,7060970.4955,19.8582853141667,63.5943732850504
5069,SE1,Mjölefjärden,sand,fastland,06_dyner,1,20265069001,,30.5,357,747350.2577,7067995.8976,19.9989757357517,63.6527292116169
5134,SE5,Havstensfjorden,sand,öar,03_sand,1,20265134001,,4.8,193,314107.355,6459642.7493,11.8332938157297,58.2385863544205
5134,SE5,Havstensfjorden,konstruerad,öar,05_konstruerad,2,20265134002,,1.3,228,314046.1835,6459708.0965,11.8322012881714,58.2391465770482
5134,SE5,Havstensfjorden,strandäng/våtmark,öar,15_strandängsbete,3,20265134003,,6.4,16,314035.7459,6459849.0209,11.8319110083469,58.2404059795656
